id,object,annonce_id,agency_id,agency_page,agency_contact_name,agency_img_url,agency_phone_number,agency_has_email,agency_link,address,area,bedrooms_count,business_unit,contact_is_private_seller,contact_email,description,district,estate_type,estate_type_id,highlighting_level,insee_code,is_exclusive,is_redirected,is_expired,latitude,longitude,monthly_price,main_picture,nature,postal_code,position,picture_count,price,price_per_meter,photos,price_decrease_percent,publication_id,pricing_price_note,ref,rooms,short_description,transaction_type,title,tags,url,video_url,virtual_visit_url,collected_at,input_url,input_max_pages,input_annonce_details
"3204208","result","200749259","193229","/professionnels/agences-immobilieres/lyon-3eme-arrondissement-69003/agence-28956/","Keller Williams Abondance","https://v.seloger.com/s/width/150/logos/0/t/u/b/0tubo1fvtzr1mt0suwah67wbpl8xyn81jyma9xt8q.jpg","07 69 27 36 43","t","http://abondance.kwimmo.fr/","Lyon 1er","18.999022907393336","0","1","f","t",,"Croix Paquet","Studio","1","1",,"t",,"f",,,"888",,"1","69001","24","7","175000","9211","https://v.seloger.com/s/crop/341x256/visuels/1/y/y/g/1yygog392si1sp7xmd1bfar28joocr95o5bokl95s.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/r/c/e/0rcewvb5ayio5jyv1crj2hj68raidf5vbxnmsylk0.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/9/q/x/09qxjpeb0ohddiq3ij9qaoc9uoyq267l50gkacj34.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/l/3/x/0l3x3xrhlvndt2doaal3qvgs60ampg2i5d0gdej6o.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/f/f/z/0ffzj16rgijvown9prt3x00prgr1lvpzs7h50wbds.jpg",,"30193229",,,"1","Appartement à vendre - Studio- 1 pièce - 19 m² - Lyon 69001 César & Brutus by KW vous présente en exclusivité ce joli studio tout rénové à quelques minutes du métro Croix Paquet, d'Hôtel de ville et de la Croix-Rousse. Découvrez cet appartement refait à neuf entièrement, il se compose d'une pièce principale avec cuisine , un coin couchage [...]","2",,"1 pièce, 19 m²","https://www.seloger.com/annonces/achat/appartement/lyon-1er-69/croix-paquet/200749259.htm",,"https://my.matterport.com/show/?m=cQpwASrd8FN","16 Apr 2023 07:31:19","https://www.seloger.com/list.htm?projects=2&types=1&places=[{%22inseeCodes%22:[690381]},{%22inseeCodes%22:[690382]}]&sort=d_dt_crea&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=search_refine-redirection-search_results","398","f"
"469139","result","159207689","34771",,"SA BOUYGUES IMMOBILIER",,"01 70 82 21 56","t",,"Lyon 2ème","145.7956914523975","0","2","f","t",,,"Appartement neuf","1","3",,"f",,"f",,,"4953",,"2","69002","7","5","1049000","7195","https://v.seloger.com/s/crop/341x256/visuels/1/t/t/t/1ttt3pjctuaoljt1rdwkkf6n13oipnyceg0c6u9u0.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/0/z/t/10ztvnwf2eyci0uqllpo3jcf5vz1spq8xkoulmlhk.jpg, https://v.seloger.com/s/crop/341x256/visuels/2/5/u/u/25uua6g9azvf3nhsdzyj9ek0ypn6fl01t13pjrjns.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/i/q/l/0iqls7v9oyx65x60p2p018hm5aj7041qsbx1n9yrs.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/u/7/5/0u752cd6ck07p4zqtzi7u9hoybgin3jgpoygp9poo.jpg",,"30034771",,,"5","","2",,"5 pièces, 146 m², Étage 14/–","https://www.selogerneuf.com/annonces/neuf/programme/lyon-2eme-69/156127873/",,"https://bouygues-immobilier.virtualbuilding.fr/sollys-echo","16 Apr 2023 07:32:36","https://www.seloger.com/list.htm?projects=2&types=1&places=[{%22inseeCodes%22:[690381]},{%22inseeCodes%22:[690382]}]&sort=d_dt_crea&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=search_refine-redirection-search_results","398","f"
"3213503","result","200558875","508226","/professionnels/agents-commerciaux/lyon-2eme-arrondissement-69002/agence-282283/","TROMPILLE JULIEN BSK IMMOBILIER","https://v.seloger.com/s/width/150/logos/1/n/0/y/1n0ycva0nuq7crei2hje1u7gn1rol4vjr158m94fk.jpg","06 48 12 66 75","t","https://bskimmobilier.com/commercial-immobilier/redirect/agent/4947","Lyon 1er","42.9998552193427","0","1","f","t",,"Terreaux","Appartement","1","1",,"f",,"f",,,"1499",,"1","69001","2","7","297000","6907","https://v.seloger.com/s/crop/341x256/visuels/1/c/k/u/1ckubokv61pfaw61wiruke7bf2mnlh8pgu4ae4ahn.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/f/d/r/0fdrr1bwnoozcu3xf7wzv32dgj6ky7om4j3cooaqs.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/5/b/8/15b8cssgx76d3utzyithgcmxev7euqkxr2ibrhd5w.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/1/2/e/012e2ioat88nn9c3nwcrcxvc0tdf854dkkby2y481.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/p/y/i/0pyizgw17z4urhyrs3jh7f005qiyj41z8mwk7bntq.jpg",,"30508226",,,"2","Appartement à vendre - Rue Pizay, à 2min du métro Hôtel de ville, dans une rue calme et pavée, venez découvrir ce bien de type 2 en dernier étage rénové par un architecte. Charmant et en très bon état, ce dernier se compose d'une pièce principale de 27m2 avec pierres, plafonds à la française, parquet massif d'origine ainsi qu'une cuisine à [...]","2",,"2 pièces, 1 chambre, 43 m², Étage 5/6","https://www.seloger.com/annonces/achat/appartement/lyon-1er-69/terreaux/200558875.htm",,,"16 Apr 2023 07:32:35","https://www.seloger.com/list.htm?projects=2&types=1&places=[{%22inseeCodes%22:[690381]},{%22inseeCodes%22:[690382]}]&sort=d_dt_crea&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=search_refine-redirection-search_results","398","f"
"3218624","result","201133057","201928","/professionnels/agences-immobilieres/lyon-3eme-arrondissement-69003/agence-168079/","GUY HOQUET LYON 3 SAXE","https://v.seloger.com/s/width/150/logos/1/c/t/k/1ctkzi87lo66i0iol1w00zmi6nm95zy7j23su6c7o.jpg","04 82 53 77 60","t","http://www.immobilier-lyon-3-ouest-guyhoquet.com/","Lyon 2ème","88.9967637540453","0","1","f","t",,"Bellecour-Ainay","Appartement","1","1",,"f",,"f",,,"2767",,"1","69002","8","7","550000","6180","https://v.seloger.com/s/crop/341x256/visuels/0/0/v/k/00vkd0nimn52kdro0g582llwr11y3eh0vp4tzqlhx.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/h/u/5/0hu56y362ebnkerhrx9y63utgmcnlusedotl5c3me.jpg, https://v.seloger.com/s/crop/341x256/visuels/2/6/w/2/26w2gotr4lgcikvfmi9ce14vjohv9k4gvwqr3ikba.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/y/1/w/1y1wnesm4mi0w8nbmg1mnv4vh6t7b1l2026jgtdn5.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/r/n/4/1rn4kdo0ycgxhlfsr6cw5136mmtdw03cbmrzvjjv9.jpg",,"30201928",,,"3","Appartement à vendre - L'agence immobilière Guy Hoquet Lyon 3 Préfecture vous propose à la vente un bel appartement 3 pièces de 89 m2, idéalement situé dans le 2ème arrondissement de Lyon, entre la Place des Jacobins et les quais de Saône. Au 3ème étage d'un immeuble datant du XVIII ème siècle, ce bien entièrement rénové offre de très belles [...]","2",,"3 pièces, 2 chambres, 89 m², Étage 3/6","https://www.seloger.com/annonces/achat/appartement/lyon-2eme-69/bellecour-ainay/201133057.htm",,,"16 Apr 2023 07:28:58","https://www.seloger.com/list.htm?projects=2&types=1&places=[{%22inseeCodes%22:[690381]},{%22inseeCodes%22:[690382]}]&sort=d_dt_crea&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=search_refine-redirection-search_results","398","f"
"3204174","result","200768243","332861","/professionnels/agences-immobilieres/lyon-4eme-arrondissement-69004/agence-1359/","Agence du Boulevard","https://v.seloger.com/s/width/150/logos/1/k/t/p/1ktpbg4dg64tu5y66hhjc152e63awlwgquiwzdux4.jpg","04 78 29 69 87","t","http://www.orpi.com/boulevard","Lyon 1er","83.21529745042493","0","1","f","t",,,"Appartement","1","1",,"f",,"f",,,"2367",,"1","69001","16","8","470000","5648","https://v.seloger.com/s/crop/341x256/visuels/0/c/p/r/0cprs4jhyxvsrv7x1zekn1gzv5hfnq6ecb4lv1im8.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/k/4/7/0k47oewsatj1mfsqi9561ovpdcrwcnof04gg7r7uo.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/4/k/f/04kfufse4haxyrrkpuozf0hrchvy208cqe7tp9jeo.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/u/e/n/0uen85drtbm17ydl2qfukvgou7uzdsidk2bw92d1c.jpg, https://v.seloger.com/s/crop/341x256/visuels/2/0/7/0/20704pu64pxk9plyl69s6tb54s9xl64yxdd7kurnk.jpg",,"30332861",,,"4","Appartement à vendre - QUARTIER SATHONAY - MAGNIFIQUE T4 83,2m² - 3 chambres Venez découvrir ce superbe appartement, au dernier étage d'une belle petite copropriété entretenue de 1989, avec ascenseur, située Rue Bouteille, Ce bien est composé d'une grande et lumineuse pièce à vivre de 34,2m² exposé OUEST, une loggia plein SUD, un coin nuit [...]","2",,"4 pièces, 3 chambres, 83 m², Étage 3/6, Balcon, Box, Ascenseur","https://www.seloger.com/annonces/achat/appartement/lyon-1er-69/200768243.htm",,,"16 Apr 2023 07:31:16","https://www.seloger.com/list.htm?projects=2&types=1&places=[{%22inseeCodes%22:[690381]},{%22inseeCodes%22:[690382]}]&sort=d_dt_crea&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=search_refine-redirection-search_results","398","f"
"3204176","result","200768043","85094","/professionnels/agences-immobilieres/lyon-2eme-arrondissement-69002/agence-25625/","ORPI JMV","https://v.seloger.com/s/width/150/logos/1/k/t/p/1ktpbg4dg64tu5y66hhjc152e63awlwgquiwzdux4.jpg","04 78 38 30 47","t","http://www.orpi.com/jmv","Lyon 2ème","70.99644128113879","0","1","f","t",,"Cordeliers-Célestins-Bourse","Appartement","1","2",,"t",,"f",,,"2011",,"1","69002","17","11","399000","5620","https://v.seloger.com/s/crop/341x256/visuels/0/u/n/j/0unjmi1ayf82sbd78onr0dz2wq1821ykat9xqkod3.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/g/0/9/0g09kq23rhkzmee4n75wmezcp9nl6olvtvcr9zwwn.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/l/l/s/0lls8xit9u5s3ke0b9irssr0wqimzzqcpy8fmj2on.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/5/b/a/05baai810kn7ja529owu16asn643a8jevaeg3x107.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/6/6/0/1660x7t1r4mhrnp0r8uacask3a8lwwgjh6m2xv2af.jpg",,"30085094",,,"2","Appartement à vendre - Exclusivité ORPI- Dans une belle copropriété du XIXème siècle avec ascenseur au coeur d'Ainay, à deux pas de la Place Bellecour venez découvrir ce charmant T2 bis de 71 m2 (54 m2 Carrez), orienté au sud-ouest, lumineux et au calme. Il se compose d'une pièce de vie orientée à l'ouest avec une vue sur Fourvière, d'une [...]","2",,"2 pièces, 1 chambre, 71 m², Étage 6/6, Ascenseur","https://www.seloger.com/annonces/achat/appartement/lyon-2eme-69/cordeliers-celestins-bourse/200768043.htm",,,"16 Apr 2023 07:31:16","https://www.seloger.com/list.htm?projects=2&types=1&places=[{%22inseeCodes%22:[690381]},{%22inseeCodes%22:[690382]}]&sort=d_dt_crea&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=search_refine-redirection-search_results","398","f"
"3204191","result","200754469","446882","/professionnels/agences-immobilieres/lyon-6eme-arrondissement-69006/agence-104454/","LES CLES D'ALEXIA","https://v.seloger.com/s/width/150/logos/1/w/x/n/1wxnhs7vfnd8wvopv2879jbsxaz5ckd02dv7qqowk.jpg","04 78 57 52 68","t",,"Lyon 1er","136.8936961297955","0","5","f","t",,"Saint Vincent","Appartement","1","2",,"f",,"f",,,"4071",,"3","69001","18","8","810000","5917","https://v.seloger.com/s/crop/341x256/visuels/0/q/d/8/0qd8h0oo0vc4mze754jqiwd98yvwqyh8ajdk74k8q.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/a/r/2/0ar25xtacpn4e2zbzr8gacvbqzs5g98t3iyh3kjg6.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/v/1/o/1v1ovx205j1l0dawekdvcft27pskdhxorylnfwd9b.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/c/x/f/0cxfchjve4ilrp3n9hdjrrxkq44z8wjuz7or69f26.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/k/x/p/1kxp1i2lui0z40w3yy4wgkhivpvhmm46c8ons8old.jpg",,"30446882",,,"4","Appartement de luxe à vendre - Appartement T4 Lyon 1er A ne pas manquer ! Dans le prestigieux quartier de Lyon 1er, nous avons le plaisir de vous présenter cet appartement de 3 chambres situé au cœur de la ville. Il se trouve au 1er étage d'un immeuble de caractère rue des Chartreux. Cet appartement de 136 m² se compose d'un hall d'entrée, [...]","8",,"4 pièces, 3 chambres, 137 m², Étage 1/–","https://www.bellesdemeures.com/annonces/vente/tt-2-tb-1-pl-48328/200754469/",,,"16 Apr 2023 07:31:17","https://www.seloger.com/list.htm?projects=2&types=1&places=[{%22inseeCodes%22:[690381]},{%22inseeCodes%22:[690382]}]&sort=d_dt_crea&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=search_refine-redirection-search_results","398","f"
"3204072","result","200790959","9336","/professionnels/agences-immobilieres/lyon-6eme-arrondissement-69006/agence-106896/","Duguesclin Transactions","https://v.seloger.com/s/width/150/logos/1/k/t/p/1ktpbg4dg64tu5y66hhjc152e63awlwgquiwzdux4.jpg","04 78 52 27 77","t","http://www.orpi.com/duguesclin.transactions","Lyon 1er","136.24829201639665","0","5","f","t",,"Terreaux","Appartement","1","1",,"t",,"f",,,"3509",,"3","69001","2","15","698000","5123","https://v.seloger.com/s/crop/341x256/visuels/1/q/6/f/1q6fq2agnlxldrtpjbpohodqif81ecgv635jf7ivr.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/o/p/5/1op55wlfqkf9wc4hyhbe3w0wl47ogtqx4cuey5c2g.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/c/n/8/1cn83iqwkgnf3awtwkww7vmfipq6kx0g1mkf3rs61.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/g/0/m/0g0mvikw50lfy4lihzug6min28myufj8fheoqeaft.jpg, https://v.seloger.com/s/crop/341x256/visuels/2/8/f/a/28fa1v71yc8tbjpj0ik25i4m6p9rk24pba7r9fmu1.jpg",,"30009336",,,"5","Appartement de luxe à vendre - Situé dans le 1er arrondissement de Lyon, bel appartement de 136,26 m², au troisième étage avec ascenseur. Des écoles de tous types sont implantées à moins de 10 minutes à pied. Des lignes de bus, ainsi que deux lignes de métro (C et A) se trouvent à proximité. Belle hauteur sous plafond, poutres apparentes, [...]","8",,"5 pièces, 4 chambres, 136 m², Étage 3/4, Ascenseur","https://www.bellesdemeures.com/annonces/vente/tt-2-tb-1-pl-48330/200790959/",,"https://envisite.net/vtour/fr/3i5snw/frame","16 Apr 2023 07:31:12","https://www.seloger.com/list.htm?projects=2&types=1&places=[{%22inseeCodes%22:[690381]},{%22inseeCodes%22:[690382]}]&sort=d_dt_crea&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=search_refine-redirection-search_results","398","f"
"2836552","result","196235931","472796","/professionnels/agents-commerciaux/dardilly-69570/agence-108875/","efficity Jonathan Perrier","https://v.seloger.com/s/width/150/logos/1/x/k/o/1xko133pwc3va43ccmbd5qmwugbx9azfsdbqb4xeu.jpg","06 27 43 16 36","t","https://www.efficity.com/jperrier","Lyon 1er","85.00188893086514","0","1","f","t",,"Terreaux","Appartement","1","1",,"t",,"f",,,"2266",,"1","69001","6","9","450000","5294","https://v.seloger.com/s/crop/341x256/visuels/2/3/e/w/23ewk9wptvc3b02g5sxls74xaa4vwbhpbgr7hbga2.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/6/f/j/16fjvb1cya7vnvmjaoburf6mlsmsnjy94avy648x6.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/g/8/r/1g8rqhpo4lrwifx87n24dsinx6k5hhbn19qm1ww8a.jpg, https://v.seloger.com/s/crop/341x256/visuels/1/z/t/0/1zt0qm7v5iksopdqts63mziowyadohq8wbomwg7xm.jpg, https://v.seloger.com/s/crop/341x256/visuels/2/5/8/m/258m3ydnodi2oic6uz6y908ob6co9ycw621kcv19m.jpg",,"30472796",,,"3","Appartement à vendre - DERNIER ETAGE très CALME – ST POLYCARPE – LYON 1er – T4 de 97 m² – 2 CHAMBRES - BUREAU - CALME – VUE EXCEPTIONNELLE – ASCENSEUR - CLIMATISATION Visite virtuelle disponible ! Jonathan PERRIER, Efficity Immobilier, vous propose une pépite : ce superbe appartement de type T3 bis de 97 m2 dont 74 m2 carrez Dans une [...]","2",,"3 pièces, 2 chambres, 85 m², Étage 6/6, Ascenseur","https://www.seloger.com/annonces/achat/appartement/lyon-1er-69/terreaux/196235931.htm",,"https://my.matterport.com/show/?m=evAswgHk82E","16 Apr 2023 07:32:10","https://www.seloger.com/list.htm?projects=2&types=1&places=[{%22inseeCodes%22:[690381]},{%22inseeCodes%22:[690382]}]&sort=d_dt_crea&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=search_refine-redirection-search_results","398","f"
"3204122","result","200778071","102657","/professionnels/agences-immobilieres/lyon-3eme-arrondissement-69003/agence-127217/","HAPI IMMOBILIER","https://v.seloger.com/s/width/150/logos/1/t/v/f/1tvfywvy3c4ch2aujswt6npllj8l6ehz18lz9q58g.jpg","06 80 24 69 31","t","http://www.groupe-hapi.com/","Lyon 2ème","30","0","1","f","t",,"Bellecour-Ainay","Appartement","1","1",,"f",,"f",,,"988",,"1","69002","8","2","195000","6500","https://v.seloger.com/s/crop/341x256/visuels/2/9/o/i/29oimmyfecxq29w0uqoampktcywbwxxb7vzxnwyyo.jpg, https://v.seloger.com/s/crop/341x256/visuels/0/k/0/c/0k0cej91oqhgm5azeess0eo80lab5gc7u6tomyeio.jpg",,"30102657",,,"2","Appartement de luxe à vendre - VIEUX LYON - RUE BELLEVIERE - Pascal ROBOREL , vous propose ce beau plateau T2 de 30m² à 2 pas du métro D. Possibilité d'avoir un devis de rénovation par notre entreprise de rénovation partenaire Point fort : - Quartier historique et touristique - place St Jean - Presqu'île à 5 minutes à pieds - [...]","8",,"2 pièces, 1 chambre, 30 m², Étage 3/4","https://www.seloger.com/annonces/achat-de-prestige/appartement/lyon-2eme-69/bellecour-ainay/200778071.htm",,,"16 Apr 2023 07:31:14","https://www.seloger.com/list.htm?projects=2&types=1&places=[{%22inseeCodes%22:[690381]},{%22inseeCodes%22:[690382]}]&sort=d_dt_crea&mandatorycommodities=0&enterprise=0&qsVersion=1.0&m=search_refine-redirection-search_results","398","f"
